Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,1.6e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
-1.0000e-01,0.0546953
-9.9998e-02,0.0547187
-9.9997e-02,0.0544844
-9.9995e-02,0.0544453
-9.9994e-02,0.0543203
-9.9992e-02,0.0549609
-9.9990e-02,0.0555781
-9.9989e-02,0.0543672
-9.9987e-02,0.05525
-9.9986e-02,0.0536875
-9.9984e-02,0.0540391
-9.9982e-02,0.0540312
-9.9981e-02,0.0541562
-9.9979e-02,0.0534531
-9.9978e-02,0.0531875
-9.9976e-02,0.0549297
-9.9974e-02,0.0548672
-9.9973e-02,0.0536797
-9.9971e-02,0.0546953
-9.9970e-02,0.0553359
-9.9968e-02,0.0541484
-9.9966e-02,0.0531172
-9.9965e-02,0.0535469
-9.9963e-02,0.0546094
-9.9962e-02,0.0554375
-9.9960e-02,0.0546172
-9.9958e-02,0.0534766
-9.9957e-02,0.0538984
-9.9955e-02,0.0538437
-9.9954e-02,0.0538359
-9.9952e-02,0.0545391
-9.9950e-02,0.0538047
-9.9949e-02,0.0542969
-9.9947e-02,0.0541797
-9.9946e-02,0.0541797
-9.9944e-02,0.0536094
-9.9942e-02,0.0539219
-9.9941e-02,0.0533437
-9.9939e-02,0.0547344
-9.9938e-02,0.05325
-9.9936e-02,0.0545
-9.9934e-02,0.0546641
-9.9933e-02,0.0542031
-9.9931e-02,0.055
-9.9930e-02,0.0539375
-9.9928e-02,0.0529844
-9.9926e-02,0.0531406
-9.9925e-02,0.0542266
-9.9923e-02,0.0543516
-9.9922e-02,0.0538125
-9.9920e-02,0.0539297
-9.9918e-02,0.0546016
-9.9917e-02,0.0541172
-9.9915e-02,0.0541797
-9.9914e-02,0.0533828
-9.9912e-02,0.0550391
-9.9910e-02,0.0552031
-9.9909e-02,0.0538437
-9.9907e-02,0.0539375
-9.9906e-02,0.0554297
-9.9904e-02,0.0546875
-9.9902e-02,0.0541562
-9.9901e-02,0.0558672
-9.9899e-02,0.0548906
-9.9898e-02,0.0556641
-9.9896e-02,0.0542891
-9.9894e-02,0.0548516
-9.9893e-02,0.0538203
-9.9891e-02,0.0537344
-9.9890e-02,0.0535469
-9.9888e-02,0.0543984
-9.9886e-02,0.0528672
-9.9885e-02,0.0543984
-9.9883e-02,0.0545547
-9.9882e-02,0.0551406
-9.9880e-02,0.0544687
-9.9878e-02,0.0550391
-9.9877e-02,0.0541719
-9.9875e-02,0.0546719
-9.9874e-02,0.0543047
-9.9872e-02,0.0553047
-9.9870e-02,0.0542422
-9.9869e-02,0.0529766
-9.9867e-02,0.0543437
-9.9866e-02,0.0550234
-9.9864e-02,0.0542734
-9.9862e-02,0.0542969
-9.9861e-02,0.0540234
-9.9859e-02,0.0539375
-9.9858e-02,0.0540781
-9.9856e-02,0.0526406
-9.9854e-02,0.0532422
-9.9853e-02,0.0543437
-9.9851e-02,0.0540078
-9.9850e-02,0.0536484
-9.9848e-02,0.0536719
-9.9846e-02,0.0542109
-9.9845e-02,0.0543984
-9.9843e-02,0.0539141
-9.9842e-02,0.0541953
-9.9840e-02,0.0545078
-9.9838e-02,0.0558281
-9.9837e-02,0.0544297
-9.9835e-02,0.054625
-9.9834e-02,0.0551406
-9.9832e-02,0.0537734
-9.9830e-02,0.0542656
-9.9829e-02,0.0531953
-9.9827e-02,0.0544531
-9.9826e-02,0.0535625
-9.9824e-02,0.0544062
-9.9822e-02,0.0551797
-9.9821e-02,0.0541562
-9.9819e-02,0.0538828
-9.9818e-02,0.0547578
-9.9816e-02,0.0536406
-9.9814e-02,0.0552266
-9.9813e-02,0.0548672
-9.9811e-02,0.0547187
-9.9810e-02,0.0536328
-9.9808e-02,0.05375
-9.9806e-02,0.0548437
-9.9805e-02,0.0542656
-9.9803e-02,0.0540156
-9.9802e-02,0.0539375
-9.9800e-02,0.0538906
-9.9798e-02,0.0543516
-9.9797e-02,0.0536406
-9.9795e-02,0.0546953
-9.9794e-02,0.0552109
-9.9792e-02,0.0559375
-9.9790e-02,0.0541094
-9.9789e-02,0.0539141
-9.9787e-02,0.0536797
-9.9786e-02,0.0544922
-9.9784e-02,0.0529609
-9.9782e-02,0.0540547
-9.9781e-02,0.0537187
-9.9779e-02,0.0537187
-9.9778e-02,0.0534687
-9.9776e-02,0.0543984
-9.9774e-02,0.0538906
-9.9773e-02,0.0540234
-9.9771e-02,0.0535
-9.9770e-02,0.0535156
-9.9768e-02,0.0541562
-9.9766e-02,0.0544375
-9.9765e-02,0.0526875
-9.9763e-02,0.0545312
-9.9762e-02,0.0536641
-9.9760e-02,0.0536406
-9.9758e-02,0.0535391
-9.9757e-02,0.0543984
-9.9755e-02,0.0537812
-9.9754e-02,0.0545703
-9.9752e-02,0.0538594
-9.9750e-02,0.0534687
-9.9749e-02,0.0542812
-9.9747e-02,0.0539062
-9.9746e-02,0.0540312
-9.9744e-02,0.0539922
-9.9742e-02,0.0534844
-9.9741e-02,0.0530781
-9.9739e-02,0.0547578
-9.9738e-02,0.0539219
-9.9736e-02,0.054375
-9.9734e-02,0.0543594
-9.9733e-02,0.0541797
-9.9731e-02,0.0548516
-9.9730e-02,0.0539922
-9.9728e-02,0.0546484
-9.9726e-02,0.0543516
-9.9725e-02,0.05375
-9.9723e-02,0.0548125
-9.9722e-02,0.0530859
-9.9720e-02,0.0536406
-9.9718e-02,0.0542891
-9.9717e-02,0.0543437
-9.9715e-02,0.0534687
-9.9714e-02,0.0536484
-9.9712e-02,0.0532344
-9.9710e-02,0.0539766
-9.9709e-02,0.0538203
-9.9707e-02,0.0533672
-9.9706e-02,0.0540312
-9.9704e-02,0.0536719
-9.9702e-02,0.0530625
-9.9701e-02,0.0524531
-9.9699e-02,0.0538359
-9.9698e-02,0.0541562
-9.9696e-02,0.0532812
-9.9694e-02,0.0539766
-9.9693e-02,0.0539922
-9.9691e-02,0.054125
-9.9690e-02,0.0542812
-9.9688e-02,0.0543281
-9.9686e-02,0.0537344
-9.9685e-02,0.0537891
-9.9683e-02,0.0543984
-9.9682e-02,0.0539766
-9.9680e-02,0.054
-9.9678e-02,0.0542656
-9.9677e-02,0.0541641
-9.9675e-02,0.0533437
-9.9674e-02,0.0544141
-9.9672e-02,0.0539844
-9.9670e-02,0.0539766
-9.9669e-02,0.0538047
-9.9667e-02,0.0540703
-9.9666e-02,0.0542578
-9.9664e-02,0.0540625
-9.9662e-02,0.0543203
-9.9661e-02,0.0538984
-9.9659e-02,0.0536016
-9.9658e-02,0.0536016
-9.9656e-02,0.0529531
-9.9654e-02,0.05375
-9.9653e-02,0.0536094
-9.9651e-02,0.0536406
-9.9650e-02,0.0534141
-9.9648e-02,0.0552031
-9.9646e-02,0.0550547
-9.9645e-02,0.0538047
-9.9643e-02,0.0539844
-9.9642e-02,0.0539609
-9.9640e-02,0.0536484
-9.9638e-02,0.0529766
-9.9637e-02,0.0540469
-9.9635e-02,0.054875
-9.9634e-02,0.0546094
-9.9632e-02,0.05375
-9.9630e-02,0.0541719
-9.9629e-02,0.0545469
-9.9627e-02,0.0535391
-9.9626e-02,0.0533672
-9.9624e-02,0.0530391
-9.9622e-02,0.0543281
-9.9621e-02,0.0538047
-9.9619e-02,0.0541875
-9.9618e-02,0.0534766
-9.9616e-02,0.054625
-9.9614e-02,0.0538828
-9.9613e-02,0.0537578
