Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.04
Sample Interval,3.2e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
-2.00000e-01,0.0550875
-1.99997e-01,0.0557375
-1.99994e-01,0.0550094
-1.99990e-01,0.0555219
-1.99987e-01,0.0553312
-1.99984e-01,0.0551062
-1.99981e-01,0.0554687
-1.99978e-01,0.0552062
-1.99974e-01,0.0557031
-1.99971e-01,0.0547219
-1.99968e-01,0.0543437
-1.99965e-01,0.05505
-1.99962e-01,0.0543844
-1.99958e-01,0.0550562
-1.99955e-01,0.0553125
-1.99952e-01,0.0543687
-1.99949e-01,0.0544062
-1.99946e-01,0.0552437
-1.99942e-01,0.0555687
-1.99939e-01,0.0551812
-1.99936e-01,0.0551687
-1.99933e-01,0.0545937
-1.99930e-01,0.0550812
-1.99926e-01,0.0560562
-1.99923e-01,0.0546562
-1.99920e-01,0.0547344
-1.99917e-01,0.0553531
-1.99914e-01,0.05515
-1.99910e-01,0.0562344
-1.99907e-01,0.0549187
-1.99904e-01,0.0554125
-1.99901e-01,0.0552875
-1.99898e-01,0.0546344
-1.99894e-01,0.05575
-1.99891e-01,0.05575
-1.99888e-01,0.0556687
-1.99885e-01,0.0549062
-1.99882e-01,0.0562344
-1.99878e-01,0.056425
-1.99875e-01,0.0548344
-1.99872e-01,0.0552344
-1.99869e-01,0.0545062
-1.99866e-01,0.0549312
-1.99862e-01,0.0561094
-1.99859e-01,0.0549812
-1.99856e-01,0.0564375
-1.99853e-01,0.055175
-1.99850e-01,0.0552187
-1.99846e-01,0.055975
-1.99843e-01,0.0545437
-1.99840e-01,0.0540687
-1.99837e-01,0.0546656
-1.99834e-01,0.0552719
-1.99830e-01,0.0557875
-1.99827e-01,0.0553156
-1.99824e-01,0.0551531
-1.99821e-01,0.0547062
-1.99818e-01,0.055825
-1.99814e-01,0.0552562
-1.99811e-01,0.0549375
-1.99808e-01,0.0547281
-1.99805e-01,0.0556219
-1.99802e-01,0.0544687
-1.99798e-01,0.0548719
-1.99795e-01,0.05515
-1.99792e-01,0.0554469
-1.99789e-01,0.0556531
-1.99786e-01,0.0550281
-1.99782e-01,0.0555469
-1.99779e-01,0.0544469
-1.99776e-01,0.0558969
-1.99773e-01,0.0555469
-1.99770e-01,0.0550406
-1.99766e-01,0.0554
-1.99763e-01,0.0560281
-1.99760e-01,0.0554
-1.99757e-01,0.054975
-1.99754e-01,0.0558719
-1.99750e-01,0.0566031
-1.99747e-01,0.0560469
-1.99744e-01,0.0559656
-1.99741e-01,0.0545312
-1.99738e-01,0.0549969
-1.99734e-01,0.0552812
-1.99731e-01,0.0550156
-1.99728e-01,0.0548062
-1.99725e-01,0.055475
-1.99722e-01,0.0569531
-1.99718e-01,0.0555656
-1.99715e-01,0.0556812
-1.99712e-01,0.055375
-1.99709e-01,0.0538594
-1.99706e-01,0.0542
-1.99702e-01,0.055625
-1.99699e-01,0.0566187
-1.99696e-01,0.0548344
-1.99693e-01,0.0552125
-1.99690e-01,0.0560656
-1.99686e-01,0.0546594
-1.99683e-01,0.0556187
-1.99680e-01,0.0561125
-1.99677e-01,0.0551125
-1.99674e-01,0.0550312
-1.99670e-01,0.0561062
-1.99667e-01,0.0549781
-1.99664e-01,0.0548281
-1.99661e-01,0.0555031
-1.99658e-01,0.0555312
-1.99654e-01,0.0553156
-1.99651e-01,0.0543812
-1.99648e-01,0.0551875
-1.99645e-01,0.0550344
-1.99642e-01,0.0556875
-1.99638e-01,0.0550281
-1.99635e-01,0.0549281
-1.99632e-01,0.05565
-1.99629e-01,0.0551094
-1.99626e-01,0.054725
-1.99622e-01,0.0557844
-1.99619e-01,0.0561094
-1.99616e-01,0.0558062
-1.99613e-01,0.0553375
-1.99610e-01,0.05515
-1.99606e-01,0.0537375
-1.99603e-01,0.0544062
-1.99600e-01,0.055875
-1.99597e-01,0.0548031
-1.99594e-01,0.0547469
-1.99590e-01,0.0569219
-1.99587e-01,0.0549062
-1.99584e-01,0.0534531
-1.99581e-01,0.0543469
-1.99578e-01,0.0556531
-1.99574e-01,0.0553594
-1.99571e-01,0.0549531
-1.99568e-01,0.0541375
-1.99565e-01,0.0546437
-1.99562e-01,0.0569625
-1.99558e-01,0.0557344
-1.99555e-01,0.0561812
-1.99552e-01,0.0552125
-1.99549e-01,0.0544406
-1.99546e-01,0.0553469
-1.99542e-01,0.056425
-1.99539e-01,0.0563719
-1.99536e-01,0.0554812
-1.99533e-01,0.0552281
-1.99530e-01,0.0560219
-1.99526e-01,0.0549719
-1.99523e-01,0.0553562
-1.99520e-01,0.0556312
-1.99517e-01,0.0549625
-1.99514e-01,0.0550437
-1.99510e-01,0.0556219
-1.99507e-01,0.0542625
-1.99504e-01,0.0557469
-1.99501e-01,0.0549937
-1.99498e-01,0.0546125
-1.99494e-01,0.0559312
-1.99491e-01,0.0549969
-1.99488e-01,0.0555844
-1.99485e-01,0.0557937
-1.99482e-01,0.0568594
-1.99478e-01,0.055275
-1.99475e-01,0.0558562
-1.99472e-01,0.0553
-1.99469e-01,0.0559531
-1.99466e-01,0.056625
-1.99462e-01,0.0542094
-1.99459e-01,0.05485
-1.99456e-01,0.0561031
-1.99453e-01,0.055025
-1.99450e-01,0.0555
-1.99446e-01,0.0550375
-1.99443e-01,0.0549156
-1.99440e-01,0.0561844
-1.99437e-01,0.0561594
-1.99434e-01,0.0557594
-1.99430e-01,0.0554656
-1.99427e-01,0.0552187
-1.99424e-01,0.0552594
-1.99421e-01,0.0557562
-1.99418e-01,0.0549844
-1.99414e-01,0.0555562
-1.99411e-01,0.0564969
-1.99408e-01,0.0551094
-1.99405e-01,0.0553625
-1.99402e-01,0.0548937
-1.99398e-01,0.0550156
-1.99395e-01,0.0559656
-1.99392e-01,0.056075
-1.99389e-01,0.0551625
-1.99386e-01,0.0548219
-1.99382e-01,0.0545625
-1.99379e-01,0.0549531
-1.99376e-01,0.0554969
-1.99373e-01,0.0547531
-1.99370e-01,0.0546719
-1.99366e-01,0.0557562
-1.99363e-01,0.0557281
-1.99360e-01,0.0541
-1.99357e-01,0.0558062
-1.99354e-01,0.0543656
-1.99350e-01,0.0546875
-1.99347e-01,0.055375
-1.99344e-01,0.0548781
-1.99341e-01,0.0546437
-1.99338e-01,0.0555156
-1.99334e-01,0.0551594
-1.99331e-01,0.0559781
-1.99328e-01,0.0551687
-1.99325e-01,0.055275
-1.99322e-01,0.0548219
-1.99318e-01,0.0554344
-1.99315e-01,0.0557312
-1.99312e-01,0.0547719
-1.99309e-01,0.0536562
-1.99306e-01,0.0554062
-1.99302e-01,0.05465
-1.99299e-01,0.0556375
-1.99296e-01,0.0550656
-1.99293e-01,0.0545062
-1.99290e-01,0.0549844
-1.99286e-01,0.0550781
-1.99283e-01,0.0551344
-1.99280e-01,0.0556781
-1.99277e-01,0.0556937
-1.99274e-01,0.0559531
-1.99270e-01,0.0558562
-1.99267e-01,0.0546625
-1.99264e-01,0.0549625
-1.99261e-01,0.0545812
-1.99258e-01,0.0549062
-1.99254e-01,0.0556281
-1.99251e-01,0.054275
-1.99248e-01,0.0546375
-1.99245e-01,0.0546562
-1.99242e-01,0.0564969
-1.99238e-01,0.0556562
-1.99235e-01,0.0555562
-1.99232e-01,0.0546
-1.99229e-01,0.05595
-1.99226e-01,0.0559187
-1.99222e-01,0.0558
