Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.1
Sample Interval,8e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
-4.98376e-01,0.0933984
-4.98368e-01,0.0929297
-4.98360e-01,0.0925469
-4.98352e-01,0.0935078
-4.98344e-01,0.0932266
-4.98336e-01,0.0921094
-4.98328e-01,0.0909609
-4.98320e-01,0.0920781
-4.98312e-01,0.093125
-4.98304e-01,0.0930703
-4.98296e-01,0.0932812
-4.98288e-01,0.0917578
-4.98280e-01,0.0928437
-4.98272e-01,0.0926797
-4.98264e-01,0.0923594
-4.98256e-01,0.0923281
-4.98248e-01,0.0941328
-4.98240e-01,0.0934766
-4.98232e-01,0.0922969
-4.98224e-01,0.0925234
-4.98216e-01,0.0934766
-4.98208e-01,0.0931172
-4.98200e-01,0.0928281
-4.98192e-01,0.0944297
-4.98184e-01,0.0913125
-4.98176e-01,0.0934766
-4.98168e-01,0.0916953
-4.98160e-01,0.09175
-4.98152e-01,0.0925469
-4.98144e-01,0.0927031
-4.98136e-01,0.0914687
-4.98128e-01,0.0917266
-4.98120e-01,0.0925469
-4.98112e-01,0.0924141
-4.98104e-01,0.0914297
-4.98096e-01,0.0928437
-4.98088e-01,0.0928281
-4.98080e-01,0.0914766
-4.98072e-01,0.0913125
-4.98064e-01,0.0914297
-4.98056e-01,0.0918125
-4.98048e-01,0.0925156
-4.98040e-01,0.0926562
-4.98032e-01,0.0921953
-4.98024e-01,0.0925781
-4.98016e-01,0.0927422
-4.98008e-01,0.0917266
-4.98000e-01,0.0929609
-4.97992e-01,0.0922734
-4.97984e-01,0.0925703
-4.97976e-01,0.0909531
-4.97968e-01,0.0929844
-4.97960e-01,0.092
-4.97952e-01,0.0928437
-4.97944e-01,0.0935937
-4.97936e-01,0.0910312
-4.97928e-01,0.0917891
-4.97920e-01,0.0921328
-4.97912e-01,0.0920469
-4.97904e-01,0.0933125
-4.97896e-01,0.0922969
-4.97888e-01,0.0927812
-4.97880e-01,0.0922422
-4.97872e-01,0.0919766
-4.97864e-01,0.0917031
-4.97856e-01,0.0918594
-4.97848e-01,0.0922422
-4.97840e-01,0.0931328
-4.97832e-01,0.0922969
-4.97824e-01,0.0921016
-4.97816e-01,0.0928125
-4.97808e-01,0.0929297
-4.97800e-01,0.0925156
-4.97792e-01,0.0916953
-4.97784e-01,0.0924062
-4.97776e-01,0.0930625
-4.97768e-01,0.0925469
-4.97760e-01,0.0927109
-4.97752e-01,0.0931406
-4.97744e-01,0.0922422
-4.97736e-01,0.0914297
-4.97728e-01,0.0912578
-4.97720e-01,0.0918594
-4.97712e-01,0.0918594
-4.97704e-01,0.0926328
-4.97696e-01,0.0918125
-4.97688e-01,0.0929844
-4.97680e-01,0.0921016
-4.97672e-01,0.0920469
-4.97664e-01,0.0923437
-4.97656e-01,0.0928437
-4.97648e-01,0.0916641
-4.97640e-01,0.0932578
-4.97632e-01,0.0918594
-4.97624e-01,0.0933125
-4.97616e-01,0.0911172
-4.97608e-01,0.0925469
